uniqueId,date,name,school,type,rating,tuition_fee,acceptance_rate
134289269037264,2022-11-17,CS6382,Caltech,Stem,2,23188,78.05
134289269031744,2022-09-09,LAW342,Wharton,non-Stem,2,18692,82.22
134289269031168,2022-12-05,MAN6332,Yale,non-Stem,1,17841,77.71
134289269037552,2022-10-12,MAN6332,Yale,non-Stem,4,26157,85.61
134289269036352,2022-11-28,MAN6382,Yale,non-Stem,1,28098,91.63
134289269037216,2022-12-20,LAW102,Wharton,non-Stem,2,26414,80.46
134289269037888,2022-11-21,CS6332,Caltech,Stem,3,22926,73.49
134289269038032,2022-11-27,CS6332,Caltech,Stem,2,,64.98
134289269036112,2022-11-09,CS6332,Caltech,Stem,3,15879,70.8
134289269031840,2022-07-24,LAW342,Wharton,non-Stem,1,19877,78.94
134289269031696,2022-10-21,CS6332,Caltech,Stem,2,27792,90.04
134289269031072,2022-09-17,MAN4382,Yale,non-Stem,2,23266,75.9
134289269039760,2022-08-18,LAW302,Wharton,non-Stem,1,27851,
134289269030976,2022-09-09,LAW342,Wharton,non-Stem,2,22994,74.36
134289269033184,2022-02-28,CS6332,Caltech,Stem,1,19242,84.83
134289269037600,2022-12-28,MAN6332,Yale,non-Stem,2,,72.72
134289269034816,2022-10-12,MAN6332,Yale,non-Stem,1,26957,95.98
134289269039280,2022-09-23,LAW102,Wharton,non-Stem,,26767,64.72
134289269031120,2022-07-16,CS4382,Caltech,Stem,3,15038,86.9
134289269039232,2022-11-06,LAW102,Wharton,non-Stem,3,21444,89.25
134289269039328,2022-12-11,CS4382,Caltech,Stem,1,22035,95.19
134289269040480,2022-08-11,MAN4382,Yale,non-Stem,2,24030,84.86
134289269040336,2022-12-03,LAW102,Wharton,non-Stem,1,22121,86.61
134289269031648,2022-11-09,CS6382,Caltech,Stem,2,23230,81.45
134289269040528,2022-10-27,CS4382,Caltech,Stem,3,17874,62.76
134289269031936,2022-12-14,LAW102,Wharton,non-Stem,2,18834,74.99
134289269031888,2022-11-13,CS4382,Caltech,Stem,1,27960,73.26
134289269032032,2022-09-17,CS6332,Caltech,Stem,2,19894,
134289269031984,2022-07-31,MAN6332,Yale,non-Stem,2,24415,61.99
134289269034960,2022-05-26,MAN4382,Yale,non-Stem,3,23652,68.0
134289269034768,,MAN6332,Yale,non-Stem,2,18803,71.96
134289269031600,2022-09-20,MAN6382,Yale,non-Stem,1,23238,83.51
134289269039808,2022-11-01,CS6332,Caltech,Stem,1,21722,75.69
134289269037936,2022-12-03,MAN6382,Yale,non-Stem,3,18736,86.81
134289269031408,2022-12-10,CS6382,Caltech,Stem,3,,92.64
134289269031456,2022-09-20,MAN6332,Yale,non-Stem,2,19683,81.88
134289269038608,2022-11-26,LAW102,Wharton,non-Stem,3,22762,79.11
134289269035968,2022-07-21,CS6382,Caltech,Stem,1,28042,72.74
134289269035872,2022-09-11,LAW302,Wharton,non-Stem,2,21702,84.51
134289269032224,2022-08-28,MAN6332,Yale,non-Stem,1,24407,95.98
134289269038560,2022-11-12,MAN6382,Yale,non-Stem,2,23983,82.93
134289269035728,2022-05-09,LAW302,Wharton,non-Stem,3,18033,80.71
134289269035632,2022-11-26,CS6382,Caltech,Stem,2,29902,76.82
134289269035584,2022-12-05,LAW302,Wharton,non-Stem,4,17875,82.99
134289269038656,2022-04-01,LAW342,Wharton,non-Stem,1,24568,70.95
134289269035824,2022-09-13,CS4382,Caltech,Stem,3,24790,78.93
134289269035488,2022-05-04,LAW302,Wharton,non-Stem,2,21671,87.43
134289269031552,2022-05-04,LAW342,Wharton,non-Stem,2,27494,77.29
134289269031504,2022-12-19,LAW102,Wharton,non-Stem,2,26721,94.25
134289269035680,2022-10-31,CS6332,Caltech,Stem,1,22386,76.08
134289269035536,2022-10-23,LAW102,Wharton,non-Stem,2,23380,63.84
134289269031264,2022-09-24,MAN6332,Yale,non-Stem,1,21972,93.63
134289269040144,2022-05-12,LAW302,Wharton,non-Stem,2,22538,85.26
134289269040192,2022-06-01,CS6332,Caltech,Stem,2,,72.15
134289269035440,2022-07-21,CS6382,Caltech,Stem,3,21065,83.89
134289269031360,2022-05-01,MAN6332,Yale,non-Stem,2,,79.54
134289269040288,2022-12-09,LAW102,Wharton,non-Stem,2,25099,68.72
134289269040384,2022-10-29,CS6332,Caltech,Stem,2,23437,60.79
134289269040432,2022-07-30,CS6332,Caltech,Stem,1,15202,63.99
134289269040096,2022-06-18,CS6332,Caltech,Stem,2,,77.34
134289269040240,2022-11-15,CS4382,Caltech,Stem,2,20358,66.07
